Issue_ID	Chromosome	Patch_GenBank_Accession
ZG-5134	16	na
ZG-5135	16	na
ZG-5136	16	na
ZG-5140	16	na
ZG-5141	16	na
ZG-5224	16	na
ZG-5225	16	na
ZG-5226	16	na
ZG-5227	16	na
ZG-5229	16	na
ZG-5230	16	na
ZG-5791	16	na
ZG-5793	16	na
ZG-5794	16	na
ZG-5797	16	na
ZG-5798	16	na
ZG-5799	16	na
ZG-5808	16	na
ZG-5810	16	na
ZG-5813	16	na
ZG-5814	16	na
ZG-5815	16	na
ZG-5818	16	na
ZG-5821	16	na
ZG-5823	16	na
ZG-5824	16	na
ZG-5825	16	na
ZG-5826	16	na
ZG-5827	16	na
ZG-5828	16	na
ZG-5829	16	na
ZG-5830	16	na
ZG-5831	16	na
ZG-5832	16	na
ZG-5833	16	na
ZG-5834	16	na
ZG-5835	16	na
ZG-5836	16	na
ZG-5837	16	na
ZG-5838	16	na
ZG-5839	16	na
ZG-5843	16	na
ZG-5844	16	na
ZG-5845	16	na
ZG-5847	16	na
ZG-5848	16	na
ZG-5851	16	na
ZG-5854	16	na
ZG-5860	16	na
ZG-5861	16	na
ZG-5863	16	na
ZG-5864	16	na
ZG-5866	16	na
ZG-5867	16	na
ZG-5868	16	na
ZG-5871	16	na
ZG-5872	16	na
ZG-5874	16	na
ZG-5875	16	na
ZG-5876	16	na
ZG-5877	16	na
ZG-5878	16	na
ZG-5879	16	na
ZG-5880	16	na
ZG-5882	16	na
ZG-5887	16	na
ZG-5889	16	na
ZG-5890	16	na
ZG-5891	16	na
ZG-6225	16	na
ZG-6232	16	na
ZG-6233	16	na
ZG-6235	16	na
ZG-6239	16	na
ZG-6241	16	na
ZG-6346	16	na
ZG-6347	16	na
ZG-6349	16	na
ZG-6371	16	na
ZG-6470	16	na
ZG-6692	16	na
ZG-6693	16	na
ZG-6694	16	na
ZG-6697	16	na
ZG-6699	16	na
ZG-6700	16	na
ZG-6701	16	na
ZG-7120	16	na
ZG-2714	17	na
ZG-2723	17	na
ZG-2731	17	na
ZG-2843	17	na
ZG-2844	17	na
ZG-2845	17	na
ZG-2846	17	na
ZG-2847	17	na
ZG-2848	17	na
ZG-2849	17	na
ZG-2851	17	na
ZG-2855	17	na
ZG-2856	17	na
ZG-2857	17	na
ZG-2873	17	na
ZG-2874	17	na
ZG-2879	17	na
ZG-2880	17	na
ZG-3055	17	na
ZG-3057	17	na
ZG-3058	17	na
ZG-3059	17	na
ZG-3060	17	na
ZG-3187	17	na
ZG-3188	17	na
ZG-3189	17	na
ZG-3197	17	na
ZG-3198	17	na
ZG-3216	17	na
ZG-3220	17	na
ZG-3221	17	na
ZG-3222	17	na
ZG-3303	17	na
ZG-3304	17	na
ZG-3305	17	na
ZG-3307	17	na
ZG-3308	17	na
ZG-3309	17	na
ZG-3310	17	na
ZG-3311	17	na
ZG-3312	17	na
ZG-3313	17	na
ZG-3314	17	na
ZG-3315	17	na
ZG-3316	17	na
ZG-3317	17	na
ZG-3319	17	na
ZG-3320	17	na
ZG-3321	17	na
ZG-3322	17	na
ZG-3323	17	na
ZG-3324	17	na
ZG-3325	17	na
ZG-3326	17	na
ZG-3327	17	na
ZG-3344	17	na
ZG-3345	17	na
ZG-3346	17	na
ZG-3348	17	na
ZG-3349	17	na
ZG-3350	17	na
ZG-3352	17	na
ZG-3354	17	na
ZG-3355	17	na
ZG-3360	17	na
ZG-3363	17	na
ZG-3364	17	na
ZG-3365	17	na
ZG-3366	17	na
ZG-3419	17	na
ZG-3420	17	na
ZG-3421	17	na
ZG-3422	17	na
ZG-3423	17	na
ZG-3424	17	na
ZG-4034	17	na
ZG-4074	17	na
ZG-4101	17	na
ZG-4102	17	na
ZG-4797	17	na
ZG-5014	17	na
ZG-5015	17	na
ZG-5122	17	na
